29
6|Archie|15|20000.00
26|Viktor|19|28000.00
21|Quinn|21|31000.00
18|Nora|23|39000.00
2|Bob|24|42000.00
5|Arlie|25|70000.00
14|Julia|26|45000.00
10|Fiona|27|48000.00
16|Lily|28|53000.00
8|Diana|29|52000.00
4|Jam|30|40000.00
1|Alice|30|50000.00
27|Wendy|30|50500.00
12|Hannah|31|59000.00
23|Sam|32|57000.00
9|Evan|33|61000.00
17|Mason|34|68000.00
20|Paula|36|64000.00
13|Ian|38|72000.00
24|Tina|39|75000.00
19|Oscar|40|76000.00
3|Charlie|41|78000.00
25|Uma|44|81000.00
11|George|45|83000.00
22|Rita|47|87000.00
7|Zer|50|400000.00
15|Kevin|52|91000.00
28|Fraser|28|500000.00
29|Bread|22|90000.00
